id,comment,category,replies,topic,title,date,time,political,religion,racism,find_abusive,find_abusive_reply
UgxSnF3-jiVBZwZnIZp4AaABAg,We believe in one GOD ALLAH .... and no one is capable of being worshiped,"[('worship', 'cds')]","[""@ storm raider U also worship DICK ! linga shiv linga do n't you ?"", ""Nope we believe in one god or Parambramha , people do n't understand hinduism""]",religion,the differences between islam and hinduism,1/16/19,18:56:00,0,1,0,0,0
UgztL_XVXL0oO-NaG4R4AaABAg,No versions of the quran ? What about hafs quran ? What about the historie that tells us that in the times of the First Caliph under Abu bakr When Uthman Chooses to burn all the Qurans that he didnt like and kept one version ? How do you even know if its original..,"[('do', 'asm'), ('know', 'asm')]","[""What you just stated is wrong information . Do n't make your own conclusion without do some research .""]",religion,"islam, judaism, and christianity - a conversation",12/16/19,12:40:18,0,1,0,0,0
Ugz9CWGKdil6xAozj6d4AaABAg,serious question. was the off duty cop a male or female?,"[('cop', 'cds'), ('cop', 'cds')]",['SeekerOfTruth The guy got in a fight at the pool - security was hired afterwards . Shayne Holland is his name and he got arrested later for trespassing and fighting in downtown Indianapolis'],racism ,black man asked to leave his own pool,1/8/19,0:02:48,0,0,1,0,0
UgwhroGAcLUzrtJ3Quh4AaABAg,"Christians  , Jews & Muslims  have  common   faith  in the  word of God  the   Bible  , Adam , messengers of God  Noah , Abraham , Issac , Jacob (  Israel )  , Joseph ,  Moses , Aron , Zacharia , John ,  David , Solomon &  Jesus <  God  says  in Quran  in multiple verses  ""  this  Quran confirms  &  authenticate  that  the   Bible   ( Old testament , new testament & Torah )   is the word of God "" &  God  says  in Quran ""  i ( God ) has  revealed  or  sent  the Gospel  & Torah  before  this  Quran  for the guidance  of the entire  people of the world "" <","[('common', 'qas'), ('people', 'cds'), ('people', 'cds')]","[""You 're talking about God loving us as if Judaism and Islam do n't mention that , lol .""]",religion,"islam, judaism, and christianity - a conversation",10/7/19,20:06:07,0,1,0,0,0
UgzcEPs96xMxO4xYA4J4AaABAg,I cannot stop reading the comments here it's contain all of what I want  to say... I'm so thankful for opening this video and listen to all of it and get benefit from it... may Allah bless all of you and bless the brother Omar💚💚🙏🙏..,"[('can', 'om'), ('can', 'cds'), ('comment', 'cds')]",['Allah is the devil only Jesus is God'],religion,"islam, judaism, and christianity - a conversation",9/22/18,9:02:15,0,1,0,0,0
Ugzm4Ez9LiIub3vRbvx4AaABAg,"State attorney: ""do you guys have cards on you?""
Cops: ""we have reverse cards""","[('attorney', 'pa'), ('do', 'asm')]","['@ Jay Torres I think the key words are female and black .', 'Of course , way more super power then a cop . Because a cop works FOR the law & the state attorney IS the law !']",racism ,police pull over florida state attorney,10/8/19,3:06:32,0,0,1,0,0
Ugx7Pd5mWl81xDIdML54AaABAg,Does anyone have an update on the cop or property manager?,"[('cop', 'cds'), ('cop', 'cds')]","['Yh Hilary , she calls them super predators lol']",racism ,black man asked to leave his own pool,6/26/19,14:16:13,0,0,1,0,0
Ugyq4mSVvOp8T8YN0S94AaABAg,"The Islamic and Jewish persons are much more definitive and realistic about the Person of God  and the perceptual relationship between the Abrahimic  faith  and its resting foundations  than the Christian person.

The seating of the individuals , say a lot , it tells us from the mysticism positions , on that foundations   that Islam is the complete summary of Christianity and Judaism and with the necessary marginal requirements needed to enhanced and complete the testaments of the Words of God , even regardless of  this the seat orders , the discuss tells us the followings that Jews reject the essence of Christ and the Purpose of his prophetic principles, and the Christians redefined the Person of Christ as God  and the Messiah ship ; but given this Islam solved the problems between the Jews and the Christians , on the person of Christ .

Islam solved this by telling the  Jew that Jesus Christ is the Messiah  and it also tells the Christian that  Jesus  was the Christ , but that he is not God in any form , so by this Islam reaffirmed that Jesus was the Christ and that God is One and that doesn't take human form , and the God worship by Moses , Jesus and Mohammed was the same God worship by Adam and Abraham.

The Christian person is much silenced by the  theological confusion in the foundations of the Person of God , because  of Jesus  characteristics , what direction does he take the God or Prophetic part, that by itself has cornered.

Big thanks to everyone , particularly the Discussants, and the Audience , and the entirety of those who are YouTube's audience for the level of Tolerance through opinions of differences.

"" One Family , we are ...with harmony in differences. ""","[('seat', 'om'), ('lot', 'cds'), ('seat', 'om'), ('reject', 'cds'), ('reject', 'qas'), ('do', 'asm'), ('worship', 'cds'), ('worship', 'cds'), ('do', 'asm')]",['May Allah protect and forgive us.amin'],religion,"islam, judaism, and christianity - a conversation",10/26/19,22:48:44,0,1,0,0,0
UgzkaN9P2O-C8P9dsZx4AaABAg,we have more reason to live than to die .❤,"[('die', 'cds')]","[""How ya doin ' Bill , having fun on the farm ? Keep 'em religion coming , my man . Yihaw ! !""]",religion,richard dawkins: 'somebody as intelligent as jesus would have been an atheist',8/3/17,22:05:42,0,1,0,0,0
UgyLxcUnzP-FW4RESNB4AaABAg,1:32 the other cop was in rewind,"[('cop', 'cds'), ('cop', 'cds')]","['shigsho I don ’ t care if you ’ re white . I don ’ t care if you got stopped for tint . You obviously did not understand what happened in the video .', ""I 'm white and got pulled over for tint .""]",racism ,police pull over florida state attorney,6/19/19,9:23:57,0,0,1,0,0
Ugy7dW1LAc8_kMMUVOl4AaABAg,"Me sorprende como reaccionan cuando una persona aspira a ser alguien en la historia, lo juzgan inmediatamente, se rien y lo tiran de loco o enfermo, lo ven como algo imposible y hasta repudiable. 

Maldita cultura de debiles y perdedores que tenemos los mexicanos, donde desde chicos nos dicen que no seremos nadie, que no vale la pena luchar por algo porque ""solo perderas tu tiempo"",ni avanzan ni dejan avanzar, que asco.","[('se', 'cds')]","['Y siguio repitiendolo como perico , para no decir como va a abatir la delincuencia de los que ahora se dedican a ser criminales , jamas dijo que va a hacer con ellos .']",political,revive el debate de andrés manuel lópez obrador,3/24/18,2:55:41,1,0,0,0,0
UgxakJCq3WIFS04pVvR4AaABAg,I'm white cant stand all this race talk...but I think the shoe fits on this one,"[('white', 'ps'), ('race', 'ps')]",['🤣🤣'],racism ,woman who called police on black girl selling water,10/21/19,15:47:49,0,0,1,0,0
UgyK639Mb3f3FFD5swd4AaABAg,"At least she didn't have straws. 
#lookonthebrightsidepatty","[('do', 'asm')]",['if it was to me'],racism ,woman who called police on black girl selling water,8/3/18,19:21:17,0,0,1,0,0
Ugh_oxj9qubyBHgCoAEC,"If you fancy this cow, make it now!","[('cow', 'an'), ('cow', 'pr'), ('cow', 'an'), ('cow', 'pr')]","['Doesn ’ t that sound good tho ?', '😭😭😭😭😭', '@ Emily Faulkner Doh ! !', '@ John Robertson nope , 864']",political,a bad lip reading of the 2012 us presidential debates,5/31/14,3:10:50,1,0,0,0,0
Ugy8rmyoWE1fG4d9wRJ4AaABAg,"for anyone saying there are errors in this video, islamic apologists and pro-islamic websites are not credible scientific sources, you can always fact check them and you will always find that they are wrong.","[('can', 'om'), ('can', 'cds'), ('wrong', 'is')]","['Your statement is more accurate', 'You mean they still believe it IN SPITE OF western science ... : -D']",religion,the scientific mistakes of the quran,7/14/19,18:02:36,0,1,0,0,0
UgwmOIDt38QjkdUEb8l4AaABAg,"1st.i am Human
2nd. proud to be a Muslim💚❤","[('proud', 'svp'), ('proud', 'svp')]","['If Hindu sage goes wearing like nothing people would still stare ... .so your point exactly ?', ""@ Bob Mac no we wo n't be will remain muslims"", ""no offense the reason is anyone wearing Hijab or Burqa make them look Primitive . and you 're living in a one of the most advance societies , this is not the 6th century its the 21st century , Muslims needs to evolve . and then people wont stare""]",religion,the differences between islam and hinduism,1/26/19,0:03:09,0,1,0,0,0
UggE8PTAnhx2HngCoAEC,"LMAO!! 😂😂
Yep I dry all my clothes on the radiator, too because it saves me a dollar from going to the laundromat.","[('go', 'cds')]","['Get over it already .', 'skoo8 what a puss']",political,democratic debate cold open - snl,11/7/16,4:51:32,1,0,0,0,0
UgzzeSgGrOyjGJEP7WB4AaABAg,The Archangel Gabriel appears in Holy Bible Scriptures Old Testament Revelation Chapters told of 1/3 fell from heaven with Satan. He also appears to Daniel in the book of Daniel and saved Daniel from the Lions den and gave him visions.,"[('fell', 'dmc')]","['Allah is not real', 'Olive Papyrus lol oops', ""@ SNKRhead Games '' thy '' is correct""]",religion,what islam really says about women | alaa murabit,4/22/19,4:07:46,0,1,0,0,0
UgzHVcbEKDbVUtkzY_p4AaABAg,alec baldwin did become president!! It's amazing,"[('do', 'asm')]","[""Larry David is actually Bernie 's cousin .""]",political,democratic debate cold open - snl,7/19/19,13:04:04,1,0,0,0,0
Ugicu7CUCKJw-3gCoAEC,Omg what did they do to Cruz!?...also woo first comment!,"[('do', 'asm'), ('do', 'asm'), ('comment', 'cds')]",['*whispers* America'],political,first republican debate highlights: 2015,8/19/15,18:39:07,1,0,0,0,0
UggAHdGKi_13cXgCoAEC,I love hillary,"[('love', 'asm')]","['Shes still running 3 years later', 'Dude', 'I ’ m already dead .', 'Rumors say she might run again !']",political,donald trump vs. hillary clinton debate cold open - snl,10/31/16,0:31:30,1,0,0,0,0
UgxBALVrISIWc6nZIaB4AaABAg,What did she say?,"[('do', 'asm')]","[""acabinsekt that 's why you do n't understand you 're not from here , you are an outsider trying to figure out the issue"", 'acabinsekt your honestly sick like eww']",racism ,racial remark during high school graduation shocks crowd,7/21/19,12:57:21,0,0,1,0,0
Ugw9zNvUC_FzHTzpETZ4AaABAg,"Everyone: *breathes*
Permit patty: Wait thats illegal","[('illegal', 'cds')]","[""@ Raina Moon Well you known that when u moved into a place where 's there 's That there 's people living there with kids Than you and this other lady should move into a place where there are no kids""]",racism ,woman who called police on black girl selling water,8/2/19,3:44:46,0,0,1,0,0
Ugior2Rlipv2y3gCoAEC,why is everyone so mean to my granddads uncle donald,"[('mean', 'svp'), ('mean', 'is'), ('mean', 'svp'), ('mean', 'an')]",['.'],political,donald trump vs. hillary clinton town hall debate cold open - snl ,10/22/16,8:57:25,1,0,0,0,0
Ugw0Tx1A_gWLuldRfFJ4AaABAg,What they don’t teach a cop is when to keep their mouth shut😂dude went brad paisley fishin😂,"[('don', 'qas'), ('cop', 'cds'), ('cop', 'cds'), ('mouth', 'cds'), ('go', 'cds')]",['Sandro Palomares she asked for the information because she was pulled over for nothing'],racism ,police pull over florida state attorney,6/19/19,21:55:32,0,0,1,0,0
UgysuYPSzowI0YL70E94AaABAg,"Dawkins has made fame and fortune for himself with this gibberish.  He's just another snake-oil salesman, why can't you see that?

You atheists and atheists' groupies are just another bunch of lemmings -- you're just blindly rushing off a different cliff .

Where do you think all this science you worship will be in a hundred years?  Most of it will be in the dustbin of science trash, that's where.  Science is almost always wrong and even the few suppositions which have stood the test of a hundred years time are currently being seriously challenged as to their basis in fact.  Einstein's theories are barely a hundred years old -- I wouldn't call that established ""reality"".

Science is not reality.  Science is a method of inquiry into the material world.  

And if you ask any scientist worth his salt (not this celebrity show-boating type like Dawkins) they will tell you unequivocally that the entire sum of human knowledge even just about the physical world is LESS THAN ONE PERCENT of what there is to know and that most of what fraction of a percentage we think we know will turn out to be WRONG..  

As far as all your ridiculous generalizations and stereotyping about religion and religious people -- it just shows a shallowness and lack of any awareness that you might not know *everything*.  If I asked you to stereotype blacks or females with such broad strokes you would be the first faux-liberals to jump up and cry ""foul"".  Hypocrites.","[('different', 'om'), ('do', 'asm'), ('worship', 'cds'), ('trash', 'an'), ('trash', 'qas'), ('trash', 'asf'), ('trash', 'qas'), ('trash', 'cds'), ('trash', 'cds'), ('trash', 'ddp'), ('wrong', 'is'), ('know', 'asm'), ('know', 'asm'), ('people', 'cds'), ('people', 'cds'), ('know', 'asm'), ('black', 'dmc'), ('black', 'ps'), ('black', 'ps'), ('foul', 'dmc'), ('foul', 'asm')]","[""Equality , feminism , his ilk believe in worse based on his own very theory of evolution . There are beliefs which further the long term interests of the group , and there are those that do n't . The smug throw away lines hide just how shallow the thought behind his ilk really is .""]",religion,militant atheism | richard dawkins,12/31/18,8:05:47,0,1,0,0,0
UgxjhP2nZSVi0Hmr9nx4AaABAg,"I really loved the maturity of these three guys. I myself am a Christian, but must admit the Muslim man spoke exceptionally well. He reminds me of Nouman Ali Khan, another intelligent defender of the Muslim faith. However, while I see some excellent points being made, I could not turn away from Christ just by hearing these things. I find it sad to think people would hear this debate or similar ones and convert to Islam, (although I do think we should respect each others faiths as these three men have) it only shows that that individual had little or no faith to begin with. Bart Ehrman is a renowned Textual scholar that many anti-christians like to quote as he attempts to devalue the gospel of John. Yet he also states that it is absolutely indisputable that Jesus was crucified on the cross. Like Bart, many Atheistic historians state that it is an absolute fact Jesus was crucified, a part of history, which the Quran denies. Remember that Lucifer is the master of deception, he will lead you 90 percent of the way to the truth, only to lead you astray at the most essential part. Denying that Christ died on the cross for us is to accept the most clever of the devils deceptions.","[('love', 'asm'), ('sad', 'is'), ('people', 'cds'), ('people', 'cds'), ('do', 'asm'), ('crucify', 'qas'), ('crucify', 're'), ('cross', 'ps'), ('cross', 'svp'), ('cross', 'cds'), ('crucify', 'qas'), ('crucify', 're'), ('deception', 'dmc'), ('die', 'cds'), ('cross', 'ps'), ('cross', 'svp'), ('cross', 'cds'), ('devil', 'cds')]","['Asmaa Mohamed alhamdolilah .', 'Dono Sago then why other both cudnt speak about their religion , and were so baffled and confused and Omar so confident . This was a good platform to make people see what is right and what is wrong , they cud hv proved that Islam was wrong ( nauzubillah ) but couldn ’ t . Why ? ? Think about it stupid .']",religion,"islam, judaism, and christianity - a conversation",12/23/18,15:52:20,0,1,0,0,0
Ugxf0dNN07T7QwjhcgZ4AaABAg,"Fatty should get more ours on the job so time dont have to be spend in front of the fridge and in kitchen, if it's not mc'donald who makes her face blopper.","[('face', 'an')]",['stop bringing race into this'],racism ,woman who called police on black girl selling water,1/12/19,22:56:18,0,0,1,0,0
Ugz3RZg6v9fT5N_Ha9R4AaABAg,"Why are they facing scrutiny. 
I'm confused. 
What has me tripping is the officers are facing scrutiny, and the media reported as such","[('face', 'an'), ('officer', 'cds'), ('officer', 'cds'), ('face', 'an')]",['Hahahaha . I never thought of that . Good one . 👍'],racism ,police pull over florida state attorney,10/24/19,1:05:39,0,0,1,0,0
Ugy7kerLa1GN3rk0xlR4AaABAg,could it really be that they stopped her cause she's black? like does this happen often? do cops seriously think hey a black person lets check on them? i know about racism and all but do cops themselves think its valid enough to stop someone based on their skin color,"[('black', 'dmc'), ('black', 'ps'), ('black', 'ps'), ('do', 'asm'), ('do', 'asm'), ('cop', 'cds'), ('cop', 'cds'), ('black', 'dmc'), ('black', 'ps'), ('black', 'ps'), ('know', 'asm'), ('do', 'asm'), ('cop', 'cds'), ('cop', 'cds'), ('base', 'dmc')]","[""@ David Olivares directly from a law firm : `` It is legal for an officer to run your plates before he or she has reason to suspect a crime is taking place . Courts have decided that police can randomly check license plates because drivers do not have an expectation of privacy concerning their license plates . '' ... and when her 's came back as blank , you could see the reason they would pull that car over . Apparently no one told them when it comes back like that it means `` do n't worry about it '' ."", ""it 's not their job to pull anyone over for no reason ... You do n't run a plate without a violation , or suspicion .""]",racism ,police pull over florida state attorney,4/18/19,12:27:55,0,0,1,0,0
UgzDtD54EEolSHXjNfN4AaABAg,"If selling water without a permit is a crime


Then I’m in the mafia","[('crime', 're'), ('crime', 'cds'), ('mafia', 'cds'), ('mafia', 'cds'), ('mafia', 're'), ('mafia', 're')]",['It is genuinely illegal .'],racism ,woman who called police on black girl selling water,6/9/19,20:17:49,0,0,1,0,0
UgjeuV8Gc_t8KXgCoAEC,he dont want rite. an why don't use one color,"[('do', 'asm')]","[""that 's the whole point . the salesman , the security , and the guy buying the clothes are all actors . the rest of the people are real people .""]",racism ,black customer racially profiled in high end store,8/16/16,14:44:39,0,0,1,0,0
Ugw4aL2BF-n5WmBmAup4AaABAg,those 150 people that disliked this video are future terrorists,"[('people', 'cds'), ('people', 'cds'), ('dislike', 'svp'), ('terrorists', 're'), ('terrorists', 're')]","[""@ Mohamed Alhaj you believe in a book that says the earth is flat so do n't compare me with flat earthers"", '@ John 413 why mohammed is big mistake.. Is it because he is not like other prophetes and not Jewish.. All prophets sent by god who is allah to convey his messege that he is only god and he is the only one to be worshipped . Muhammed is like Messiah and Moses and Isaac , Noah , Jacob and all messengers who sent by Allah to tell the truth .', ""@ dimitriszah 999 You do n't know about that yet.. Your knowledge is just restricted with human logic and bounded . You are just like people who still think that earth is flat . The universe is in expanding and we are like germs in whole system ."", ""The science never proved the sky is a ceiling that can fall Do n't talk about science when you follow the quran""]",religion,the scientific mistakes of the quran,7/7/19,21:13:11,0,1,0,0,0
UgwGhVkXxLqQc_wqz8l4AaABAg,"Mistakes=1.Hinduism dont have 300 million god but only 30 types of god. Ony 1Parmeshwar(God) 1 Eternal God in your language.
2. In Sanatana Dharma the ""Meaning of Dharma is Righteous Thing or Principles NOT RELIGION"". Synonyms of Religion is Panth or Sampraday.
3. A Hindu Sage can be anyone dont needed to be from a Special Caste. Anyone can be a Sage by studying Veda Upanishad etc. eg VedaVyasha; Valmiki etc.
4. Reincarnation depend upon your Karma(deeds).","[('god', 'cds'), ('god', 'cds'), ('can', 'om'), ('can', 'cds'), ('can', 'om'), ('can', 'cds')]","['Feroz qayumi wrong', 'You are definitely Pakistani Islam is only 1400 years old .']",religion,the differences between islam and hinduism,12/4/19,2:25:20,0,1,0,0,0
Ugys-nR9Pd4lpwFqlK14AaABAg,"There are 3 main God in Hinduism 
BRAHMA ,VISHNU and SHIVA 
And there is a prophecy ,saying and written in Hinduism that 
There are nearly 330millions of semigods ,Guardians or angels for humans. Doesn't mean Hindus worship 330millions of Gods not even Google has so many images of so many kind and gods 
It's jst a propaganda spreader by western Christian media against Hinduism.
I have started to hate Christians more than Muslims.now a days ..as I have come across their history and brainwashing agenda and their hidden sins....Christians are hypocrites..","[('mean', 'svp'), ('mean', 'is'), ('mean', 'svp'), ('mean', 'an'), ('worship', 'cds')]","['You should stop worshipping that lund sign الله\u200e allah .', 'Muslim worship nothing .']",religion,the differences between islam and hinduism,1/14/19,15:28:40,0,1,0,0,0
Ugwasmlaa87sJ67o54x4AaABAg,Oh they real different when you have a title... lol,"[('different', 'om')]",['They look bad without the news station .'],racism ,police pull over florida state attorney,6/26/19,17:32:52,0,0,1,0,0
Ugzf97MEXJDmpL1v9fp4AaABAg,"Crazy, I mean if the Pizza is $42 why give him $50! I would think it's my tip as well... 🤣😂🤦🏾‍♂️","[('mean', 'svp'), ('mean', 'is'), ('mean', 'svp'), ('mean', 'an')]",['Not this one oh yeah they are closed permanently'],racism ,"pizza delivery guy gets insulted, internet gets revenge",11/28/19,16:36:41,0,0,1,0,0
UgijGbr5C6V6E3gCoAEC,"""I own a parrot that doesn't drink"" LOL","[('parrot', 'an'), ('parrot', 'an'), ('do', 'asm')]","['nah more like 4:13', '4:09']",political,first republican debate highlights: 2015,3/18/16,0:04:34,1,0,0,0,0
Ugyu_7GyL7lfsdkAZUZ4AaABAg,"Title points out the person's race, therefore it MUST be racist. Can't possibly be anything else","[('race', 'ps')]",['Its fake news dumbo lol do some research and you will see there is more to the story that they left out'],racism ,black man asked to leave his own pool,1/14/19,2:58:38,0,0,1,0,0
Ugya6m-3Cs3nyL0OpSt4AaABAg,You don't have a permit to Watch this video.....GET OFF OR IM CALLING THE POLICE...,"[('do', 'asm')]","['I mean you can get fined a lot for selling stuff without a permit', 'No loicence , no waher']",racism ,woman who called police on black girl selling water,3/16/19,0:29:00,0,0,1,0,0
Ugxb7JwPjhdfiiwjGuF4AaABAg,"He was offended by being called out for using a black person as a prop, and called her racist for the accusation. She apologized for a statement that he took as racist, but he didn't apologize for directly calling her racist.","[('black', 'dmc'), ('black', 'ps'), ('black', 'ps'), ('do', 'asm')]","[""@ roro bishara just stating the facts , sheep . bah baaah bahh ( hahhaha did n't realize you 're a paid shill account ! good luck )""]",racism ,racism accusation sparks fury at cohen hearing,2/28/19,23:18:28,0,0,1,0,0
UgzhWEgFKHQLeNzY5Ft4AaABAg,"I wish he'd do an address about how St. Augustine, St. Thomas Aquinas, and St. Thomas More were stupid.","[('do', 'asm'), ('stupid', 'ddp'), ('stupid', 'or'), ('stupid', 'ddp'), ('stupid', 'cds'), ('stupid', 'cds')]","['Atheists are the most hated group in America . The average American will vote for a black person/woman/insolvent person but NOT an atheist , despite the fact that that atheist may be one of the most decent people around . Stop pretending that atheists are closed minded ; many of them were sincere believers until the universe and reason showed them there were better reasons not to believe .']",religion,militant atheism | richard dawkins,7/5/18,0:30:41,0,1,0,0,0
UgwfHbEQNbdGnjNg3aF4AaABAg,sad so sad but tru,"[('sad', 'is'), ('sad', 'is')]","['Wait . Did you just profile him , Ms. Liberal ?']",racism ,black customer racially profiled in high end store,7/15/19,4:27:47,0,0,1,0,0
Ugyt-bs9TgzTfk3pTXF4AaABAg,she got dat extra punchable face ngl,"[('face', 'an')]","['Ur a ruminant , and a waste of Oxygen .']",racism ,black man asked to leave his own pool,7/26/19,6:09:03,0,0,1,0,0
UgyPzijjaviVdk28fCZ4AaABAg,Oh the early days of Trump Derangement syndrome. If only these people could see into the future and know how crazy they will all become over the next 8 years,"[('people', 'cds'), ('people', 'cds'), ('know', 'asm')]",['Ikr 😂 he does such a good job'],political,donald trump vs. hillary clinton debate cold open - snl,12/1/19,21:27:54,1,0,0,0,0
Ugx0yN4X4f1gnBjUHiJ4AaABAg,Concept of one god is just an  illussion and a process to simplyfy the complicated process. Whereas concept of god in Hinduism is a reality. Read in detail on sandeepsri.com,"[('god', 'cds'), ('process', 'asm'), ('process', 'asm'), ('god', 'cds')]","['Stupid and Cowardly Brahmins are one of the Biggest Idiots , You are The Proof ! !']",religion,the differences between islam and hinduism,1/20/19,5:35:08,0,1,0,0,0
Ugw9h5eRctMgtE1-7_14AaABAg,Are we all ignoring how nasty that pizza looks though? 😅,"[('nasty', 'dmc')]","['Exactly , seems like they purposefully did it to be asses .']",racism ,"pizza delivery guy gets insulted, internet gets revenge",7/30/19,6:19:42,0,0,1,0,0
UgzPQivfV94dy6r64Y54AaABAg,"The news reporter should of said African American, not just black","[('black', 'dmc'), ('black', 'ps'), ('black', 'ps')]","[""Perhaps they could do this thing called `` investigate '' and track down clues and then after doing that validly gather evidence .. you know do that instead of playing the `` I 'm bored and racist '' plates lottery.. jeez..""]",racism ,police pull over florida state attorney,10/26/18,0:47:11,0,0,1,0,0
UgwS3v_89NVDbgGOvWl4AaABAg,update both cops fired,"[('cop', 'cds'), ('cop', 'cds')]","[""Sy I 'm glad she acts for the cards too""]",racism ,police pull over florida state attorney,8/2/18,2:33:53,0,0,1,0,0
