id,comment,replies,find_abusive,find_abusive_reply,time,date,title,political,religion,racism,topic,category,word_count,char_count,replies_length,replies_word_count
UghCv3GQHBAku3gCoAEC,Only stupid people mess with a person who is alone with their food.,"['i rather jerk off actually haha', 'Pizza is like sex ; even bad pizza is better than no pizza .', 'It still made me want to eat that pizza', ""I knew that I was n't the only one thinking about that .""]",1,1,2:32:53,12/19/16,"pizza delivery guy gets insulted, internet gets revenge",0,0,1,racism ,"[('stupid', 'ddp'), ('stupid', 'or'), ('stupid', 'ddp'), ('stupid', 'cds'), ('stupid', 'cds'), ('people', 'cds'), ('people', 'cds'), ('mess', 'cds'), ('mess', 'qas'), ('mess', 'cds')]",13,67,4,42
UgwrgAXtFv0g8vUPUHp4AaABAg,"the difference in between islam and hinduism in india are,, islam came from arab,, and who raped, killed, forced to convert for islam,, they are so called muslims in india,, and hindu's are somuch toleranted people,, who gave their life but never converted themself for islam,,","[""@ Rasheed of course your wish you answer me or do n't . Btw Christianity erased native Americans and Australians already . Your family is better than them only because they are n't Islamic or Christian enough to show what it actually means to be a follower of Abrahamic religions . Jews Muslims Christians are all the same . Ones they know the book their minds are highjacked . You wo n't see a Dharmic person massacring millions and justifying it was for 'god ' . Thanks for reading . Make yourself to be able to hink deeper . Have a great day too !"", ""@ Rasheed are you telling me there is no terrorists in Libya ? No apostates are killed or jailed ? Muslims do n't even shape themselves to atleast blend a little with different societies . Look at Europe ! Muslims demanding for Sharia law and taking over territories restricting non muslims to enter . Harassing and acid attacking uncovered women . What that fuck is that ? At what angle do you think at each and every point on the earth 's surface 'innocent ' Muslims are in danger . Even while living with their own Sharia government . Let me see how you deal with these questions ."", ""@ Rasheed you 're stuck in the wrong angle of the argument . All you can do is making fun of my grammar and spelling . Go and do your homework kid ."", '@ Rasheed Biggots dont talk what make sense . Prove me wrong .']",1,1,15:23:14,1/15/19,the differences between islam and hinduism,0,1,0,religion,"[('kill', 're'), ('force', 're'), ('people', 'cds'), ('people', 'cds')]",46,277,4,260
UggZNMwzgKw7tHgCoAEC,You can't fix stupid.. so if you're stupid...  well...  you get about a month's worth of striped tanning,"['@ Bill Patrick Jones .. I say again , her stupid behaviour and the judges reaction to it has nothing whatsoever to do with race . You calling me a Nazi makes no sense and also has nothing to do with this case .', 'Bill Patrick Jones these kind of judgements make people turn into hardened criminals', '@ Nick Turner']",1,1,21:10:43,9/24/15,judge flips out after getting flipped off,0,0,1,racism ,"[('fix', 'cds'), ('fix', 'qas'), ('stupid', 'ddp'), ('stupid', 'or'), ('stupid', 'ddp'), ('stupid', 'cds'), ('stupid', 'cds')]",18,104,3,60
UgyKlR5Uo7QWsbxNxax4AaABAg,wtf was wrong with the cop smfh thats what happens when give mentally unstable people a badge,"['Green Flame Here ’ s my point > > THIS guy isn ’ t helping inter racial matters ... . He ’ s falsely claiming racism because he knew exactly why everyone at the pool was asked to ID themselves . There was fighting at the pool a week earlier . Guess who was involved ? ? This guy with the camera - named Shayne Holland .', '@ Taotaomona Well i mean it might as well be because its retarted the way that people think that skin color makes someone lesssr than what they really are', 'Green Flame So death to those that treat any other race as a lesser people ?', '@ Taotaomona My point was that people treat black people like if they were a worse race', 'Green Flame But you ’ re point was that people should go “ kill themselves. ” That ’ s why these videos with false claims of racism are potentially dangerous . And this WAS a false claim .']",1,1,20:13:46,1/9/19,black man asked to leave his own pool,0,0,1,racism ,"[('wtf', 'asm'), ('wrong', 'is'), ('cop', 'cds'), ('cop', 'cds'), ('people', 'cds'), ('people', 'cds')]",17,93,5,168
UgwW1gL61uvkLLM6sLp4AaABAg,Whoever did the b role for this video should be fired its fuckin hoeeible,"['Why don ’ t you look at the video again idiot ? Obviously the pizza boy gave back the cash and some change which means the bill was $ 42 and some change .', 'Obviously the bill wasn ’ t $ 42 exactly , it was $ 42 and some change , if he gave $ 8 back it wouldn ’ t be enough to cover the pizza and you don ’ t deal with cents when ur a delivery driver .', 'You ’ re fucking retarded', ""@ Dale Barrera Yeah maybe . But seems weird she did n't take that into account in the price ."", 'Tax ?']",1,1,15:28:43,3/16/19,"pizza delivery guy gets insulted, internet gets revenge",0,0,1,racism ,"[('do', 'asm'), ('fuckin', 'asm')]",14,73,5,109
Ugz5FxyoDyfeJdN419N4AaABAg,"It's not unlike critiquing Israeli policies being labeled ""antisemetic"".  Christians and Muslims are equally full of shit when it comes to religion.","['yeah rıght', ""@ Zo A That was not my point . I was more affected by Sam 's calmness than anything else . But glad it made you laugh !"", ""\u200b @ Kartikeya Sharma Oh dear God , yall are for sure the little military trolls on Marketing / Soft Politics duty or you 're bots . The effort you 're putting into trying to make Ben Affleck a villain out of control and hysteric is so laughable , and even more evidence that some of yall know the sea is changing and folks have more nuanced views and it just makes ya so crazy . I LOVE IT"", ""That 's what I noticed too.. 9:18 the way he takes a deep breath , just getting back to normality , and getting away from the shit spewing out of Ben 's mouth .""]",1,1,20:02:50,8/8/19,sam harris and bill maher debate radical islam,0,1,0,religion,"[('shit', 'an'), ('shit', 'cds'), ('shit', 'ddp')]",22,148,4,143
UgyHNE1FbBZWHsCYW-54AaABAg,"- But there's a lot of rubbish. 
- No one can prove that. 
BITCH, WHAAAAAAT.","[""@ Log Hi Logorrheic , lusting is not sinful in itself , lusting on a married woman definitely is a sin if you are single , or lusting on another woman if you are married . These are in the amplitude of adultery but no one was penalised under Moses for thought crimes . So , it 's not on the same level as the act . Like I ca n't call you an adulterer unless you did it . The thoughts are sin and will be dealt with by God soon . Now I read your Ray Comfort misspelling ... I realise in atheism that you allow yourself to be as vile as you like and that your mind is basically a toilet now , becoming more and more debased until you are turned over to Reprobate , which will be happening soon if you do not Repent , and your hope will be gone . BUT , I 'm not interested in reading it ! So I 'm just going to make this as clear as I can if you are still able to comprehend things in the murk of your mind ... Stop typing depraved things here . Keep a lid on it , or get lost . Thanks"", ""Len Ron Dow here - my response has been blocked by youtube - I will try this route . *Mr tee : * The point is this - you have agreed with me that the Bible contains erroneous science . Genesis 30 tells of Laban 's efforts to cheat Jacob out of what he was owed . But in the story , Jacob uses his 'knowledge ' of genetics to redress the balance . By making the female goats face striped poles and female sheep face Laban 's dark-colored sheep before mating - it is written that he successfully increased the number of speckled & spotted goats and dark sheep earmarked as his 'wages ' . If you think my question is fanciful then go to biblehub and go to this chapter and read 'Gill 's Exposition ' for verses 30 to 39 . The idea that what a female is looking at when mating would affect the attributes of the offspring were widely held folk-tales for many centuries - but it ai n't real science . Want another ? How about stars falling to the ground ? About adultery . Sin is an offense against the gods - and as I do n't believe that any gods exist - I do n't believe that sin exists either . If your moral compass is rooted in the scriptures , then you are *amorally obedient . * Obedience is not the same as morality . You let the people who claim to represent your god decide for you what is right or wrong . I , on the other hand , have thought for myself about what is right and wrong and have developed my own moral compass - as a utilitarian , it is based on causing the least amount of suffering to my fellow living creatures and creating as much happiness as I am able . It is about my impact on their well-being . Now , adultery - if this is defined as the breaking of a promise of sexual fidelity - then committing it would cause suffering for the spouse cheated upon - it would be injurious to their well-being and therefore it would be immoral . Would n't you agree ?""]",1,1,7:31:50,8/30/17,richard dawkins: 'somebody as intelligent as jesus would have been an atheist',0,1,0,religion,"[('lot', 'cds'), ('rubbish', 'asf'), ('rubbish', 'an'), ('rubbish', 'qas'), ('rubbish', 'cds'), ('rubbish', 'ddp'), ('rubbish', 'cds'), ('can', 'om'), ('can', 'cds')]",15,76,2,587
Ugg993HGlhDTangCoAEC,Just his fucking demeanor and the way he is dressed up,"['+Ralyssa Enueshike are you retarded she likes this particular security guard not all of them', 'preach sister !', 'stfu ady go watch call of duty gameplays and leave this comment section alone .', 'you can too !', 'Call me amy']",1,1,15:14:56,8/8/16,black customer racially profiled in high end store,0,0,1,racism ,"[('fuck', 'asm'), ('fuck', 'asm')]",11,54,5,40
Ugh3nSgl42TRnXgCoAEC,Trump gets way more shit than Hillary and they should both be getting the same amount of shit because they're both equally shitty.,"[""You 're right ! The Vertias Project is SUCH an eye-opener . Dipshit ."", 'Sorarozu What about her being a criminal , or vertias ? Not just one email joke . So stupid', ""Sorarozu does n't mean they ca n't throw more jokes against Hillary"", 'Sammy Gosche who gave the SNL writers more material to work from by making a bigger fool of himself ?']",1,1,17:11:22,10/23/16,donald trump vs. hillary clinton third debate cold open - snl,1,0,0,political,"[('shit', 'an'), ('shit', 'cds'), ('shit', 'ddp'), ('shit', 'an'), ('shit', 'cds'), ('shit', 'ddp')]",23,130,4,65
Ugxf_sfPcw8Q2Rcwqzl4AaABAg,"I was profiled when I was 15 when I came out of Walmart it was raining I was 15. No umbrella, no jacket so I ran to the car it was me and a friend they jack us up. And when I told them I’m 15 they let us go and drove off. Like who the crap walks in the rain.","[""@ Stacy Williams you do n't know a thing about me bitch . Get a life"", 'You : back off white boy before I detonate all these explosives taped to me']",1,1,19:54:02,6/19/19,black customer racially profiled in high end store,0,0,1,racism ,"[('jack', 'an'), ('jack', 'an'), ('go', 'cds')]",61,258,2,31
Ughg8BUVs8nGVXgCoAEC,OK OK religion is rubbish....its meaningless rubbish. Will you shut up now please and get over it ? Thanks.,"[""+Warrenator And yet you decide to cite something that has been debunked . http : //www.csun.edu/~vcgeo005/bogus.html Here you go . The Sahara ? Formed over 7 million years ago , formed by the shrinkage of an ocean that once occupied that area . This is why people do not like religion . You simply respond `` god '' to anything you do not understand . There is nothing to suggest Jesus was an intelligent man , and there is everything to suggest Dawkins is a very intelligent man ."", ""+Warrenator For someone who states that `` every bit of science '' besides evolution supports God , I would certainly point to nearly every single science-fluent citizen and have them tear apart Noah 's Ark in 45 seconds ."", 'hahahaha trying to justify the bullshit of bible ? . slaves are just propert according to yahweh . well ? .', '@ Warrenator I dont worship Dawkins well at least he never condoned slavery like what your god did .', 'Dawkins is a living God and better than Yahweh .']",1,1,13:40:58,4/24/15,richard dawkins: 'somebody as intelligent as jesus would have been an atheist',0,1,0,religion,"[('rubbish', 'asf'), ('rubbish', 'an'), ('rubbish', 'qas'), ('rubbish', 'cds'), ('rubbish', 'ddp'), ('rubbish', 'cds'), ('rubbish', 'asf'), ('rubbish', 'an'), ('rubbish', 'qas'), ('rubbish', 'cds'), ('rubbish', 'ddp'), ('rubbish', 'cds')]",19,107,5,178
UgzTq1uWnHwYawRtuI54AaABAg,"Girl: Fuk You


Judge: *Boi Im Reelly bout to git your Pickle Chin Asss BOI*
https://www.youtube.com/watch?v=EziPR974OaU","['Both', 'Woman was a bitch and judge was annoying']",1,1,22:05:01,4/17/19,judge flips out after getting flipped off,0,0,1,racism ,"[('git', 'dmc'), ('git', 'dmc'), ('git', 'an'), ('git', 'cds')]",16,120,2,9
Ugz6N5R-Z9iukh0kVJp4AaABAg,"Smart mouth spoiled brat Foreigner got exactly what she deserved she needed more I would have set bail at $500,000 and give her six months in County for her smart ass reactions and remarks","[""Actually there are many examples where words alone can be unlawful or even criminal and direct criminal contempt is just one of them . Do n't say `` fuck you '' in open court .""]",1,1,2:41:18,1/4/19,judge flips out after getting flipped off,0,0,1,racism ,"[('mouth', 'cds'), ('spoil', 'qas'), ('set', 'cds'), ('smart', 'cds'), ('ass', 'om'), ('ass', 'an'), ('ass', 'asm')]",34,188,1,35
UgynO_KdJwP62Ae4NZF4AaABAg,"god damn! that's some good weed! 
The moon was split in 2 and it is a sign.","['@ Deutschland Über Alles I got a gift of a Quran ... only 200 printed from Arabic to English . My friend said it is accurate . It has pages of footnotes explaining things . What i did not know was that other printed editions of other Qurans are not accurate on the translations . Or do not give footnotes . etc .', ""Actually you can go check them out unless you 're being sarcastic . They are accurate ."", '@ welltell Now you know .', '@ George Wow i did not know that .', 'Arabic original is even worse , because translations try to hide or just omit more stupid parts of the quran . In every language this pathetic booklet is disaster .']",1,1,14:36:21,11/13/19,the scientific mistakes of the quran,0,1,0,religion,"[('god', 'cds')]",17,75,5,125
UggOKiRpJW4iG3gCoAEC,"you know who else is really biased, cnn
now stfu","[""@ MrAngemystere so you 're trying to say you 're a try hard and an over achiever ? I do n't quite understand . Are you comparing Trump to Nazis ? P.S . Columbia University is white trash ."", ""@ ***** : The Nazi Party were a Right-wing party by their origins , their resentments , and their program They were anti-urban , anti-union , anti-feminist , anti-immigrant , anti-intellectual , anti-science , anti-multicultural ( `` cosmopolitan '' ) , ANTI-LEFT , ANTI-LIBERAL , anti-factual , and anti-Truth . These are the Right-wing politiques du ressentiment . They are the Republican Party 's sentiments and positions . I am a Columbia University double-degree graduate with multiple honours . I studied under Robert Paxton , the world 's leading scholar on Fascisms and Right-wing politics . In attempting to question the undeniable Right-wing core of the Nazis , you are engaging in American Right-wing Holocaust denial : attempting to deny the undeniable Right-wing sentiments , beliefs , and policies that led to the Holocaust , the very same and intersecting belief system that undergirds the American Right-wing : racism , sexism , xenophobia , militarism , revanchism , and les politiques du ressentiment . Go FUCK YOURSELF , you ignorant asshole . When you 're as educated as I am and have researched , reviewed , and contributed to as many Holocaust histories and histories of the Right-wing in modern history , then and only then can you come at me . FUCK OFF , asshole .""]",1,1,0:03:00,10/17/16,donald trump vs. hillary clinton town hall debate cold open - snl ,1,0,0,political,"[('know', 'asm')]",10,48,2,256
UgwjyO7lUgu8HMWCatN4AaABAg,Smart ass cunt.,"['Queen Queen “ who did nothing wrong ” the woman legit said “ yeah get out before I put my foot in your ass ” . The story is real and confirmed . We know the full story bc the cameras roll 24/7 so all that was shown was true unless staged or though text/call . Which can still be recorded , the employees would definitely regret what they did which was the point , the internet wouldn ’ t regret it bc it worked . Bye now .', ""@ Sealy Productions i see ur point but u understand not every murderer is not sentenced to capital punishment.. And to teach someone a lesson if u have to hurt other people who did nothing wrong.. I dnt see the `` justice '' in that.. Everything in this world is a domino..and everyone has stories that we dnt know.. Intervention by internet is good.. But merciless mob justice isn't.. Internet is not a being , its people.. How many really understand that people who took revenge for the pizza guy are actually on a power trip.. just became a vigilante of justice.. Lol.. It 's nothing except power trip of human mind.. Weather the employees or the people.. Anyways.. thanks for the conversation.. Treat people with kindness.. And have a good day/night.."", 'Queen Queen the employees never apologized , the company manger did . And in this example , it wouldn ’ t be someone calling in their brother it ’ d be the guy just standing there and then the brother found out and punched the bully ... .the guy didn ’ t send in the internet . The internet sent in internet . The internet wanted them to have a taste of their own medicine aka what punishments are . If a jail said “ no we ’ re not going to sentence the murder to life in jail , bc we ’ d be swooping to his level ” would be idiotic . I agree the employees are to blame , not the company . But u can ’ t figure out a way to punish the employees without punishing the company as a whole', ""@ Sealy Productions the pizza guy did n't punch them back.. The big brother internet people punched them back.. So much so that they lost their business , despite apologizing and giving the pizza guy money.."", ""@ Sealy Productions I just asked a question.. And no if u punch him back.. It 's defense.. But if you bring ur big brother and bunch of his friends and instead of warning him.. they start beating him from then onwards causing them to leave school at one point.. Will that not be bullying as well ? ? The internet trolled them so much that the owner lost his business.. Is n't it a mob justice ? ? I am just trying to understand this.. what they did to the pizza guy is not nice.. But what internet people did was the same behavior as the employees in this case..""]",1,1,20:17:33,6/25/19,"pizza delivery guy gets insulted, internet gets revenge",0,0,1,racism ,"[('ass', 'om'), ('ass', 'an'), ('ass', 'asm'), ('cunt', 'or'), ('cunt', 'asf'), ('cunt', 'pr'), ('cunt', 'an')]",3,15,5,514
UgwxmOylECosrfrNPj14AaABAg,It's not what she said you fucking idiots ...It's how she said it...,"[""@ Ngura Sailo Well different random internet user , despite pulling out the go-to bitchboi argument in all of history for deflecting any criticism whatsoever with pseudo-logic , you 've failed to be live up to other equally tarded metrics required of debating like a bitch when you definitively assumed that other totally random internet user IS N'T a professional judge . I 'm sure you know the proper application of tard logic required to utilize the classic dismissal of `` obviousness inferred '' requires FULL consistency in dumbshit evaluation . As such , you must also regard the likelihood that any given user could be a Judge as 50/50 for the weight of your logical fallacy to effectively convey its stupid fucking non-point ."", 'Thank you random internet user for knowing how to judge more than a professional judge']",1,1,22:40:55,4/8/19,judge flips out after getting flipped off,0,0,1,racism ,"[('fuck', 'asm'), ('fuck', 'asm'), ('idiots', 'asm'), ('idiots', 'ddp'), ('idiots', 'asf'), ('idiots', 'ddp'), ('idiots', 'ps'), ('idiots', 'cds')]",13,68,2,140
UgwxaNczcjWAVv-ZVJV4AaABAg,"What assholes, no need for that kind of behaviour. Oh, and CNN is garbage.","['if they wanted change then they should have kept one of the fives makes no sense', ""@ Portia Valentine I have and they tell me outright that they need change . It 's pretty basic stuff . These people were total assholes about the whole thing ."", ""@ oozyVsak47 ll Mistake or not , it was their mistake and they acted like assholes about it . Besides , let 's give them the benefit of the doubt and assume they were gon na tip the delivery guy SOMETHING . How much more did he take in that $ 7 than they meant to tip him ? They are then making a big deal and going through a lot of effort over a measly few bucks . Even if they meant to only tip him $ 3 and not $ 7 they are being assholes over 4 fucking dollars , and if they meant to stiff him then they are being assholes in general ."", '@ oozyVsak47 ll Why give the extra 5 ?', '@ oozyVsak47 ll lmaoooo youre another dumb ass ... .who makes a mistake and gives extra money ... i could understand if its fresh from bank because new bills stick together but cmon bro']",1,1,6:04:29,7/5/19,"pizza delivery guy gets insulted, internet gets revenge",0,0,1,racism ,"[('assholes', 'ddp'), ('garbage', 'cds'), ('garbage', 'qas'), ('garbage', 'cds')]",14,74,5,207
UgiqkD5bmxXAVngCoAEC,"The fact  that he won is terrifying,but this shit is too funny and correct! Im ashamed of America voting for this baffoon!","['QUEENKIM4EVER the system is mostly rigged , but trump won because America is mostly republican so of course he won', ""yeah your a moron and obviously do n't know what electoral votes are LOL the `` majority vote were illegals including daca '' democrats do n't have anything without them that 's most likely why that system is in place"", ""QUEENKIM4EVER he also did n't say he would necessarily accept the results of the election , oops ... Flip That Snow Flake ! The Bitch ripped off the old commie , or was he just in it for the money . # berniegotburnedbythebitch"", 'Imagine the landslide victory he would have had if 10 million illegals could not vote in the state of Californicate .', 'HAHA i get it because it was proved that Hillary ’ s team rigged the polls in the primaries']",1,1,18:09:46,2/5/17,donald trump vs. hillary clinton third debate cold open - snl,1,0,0,political,"[('shit', 'an'), ('shit', 'cds'), ('shit', 'ddp')]",22,122,5,143
UgiYR2-1S1mv-HgCoAEC,Hard slut for sure. No sexism intended.,"[""Yeah but if i was sent for 30 days just for saying `` adios '' i would be pissed"", ""@ InfinityDagger some people get a lot lot more for what she did so it would n't be that bad and you are required by law to pay it so"", '30 Days = Few Weeks Over A Month Btw .', ""When you are in a court of law , you are expected to be respectful , not a little cunty teen . This was teaching her to be respectful because clearly her parents did n't . Good on him for showing her that you ca n't treat people in the real world , like they let you treat teachers in your school . That sassy little bitch attitude got her exactly what she deserved . When you are detained you have Miranda Rights , your `` fee speech '' does NOT entitle you to be disrespectful in a court of law , and as a result you can be held in contempt and your bond can be upped ... and that is exactly what he did . He taught her the respect for authority that clearly her parents failed to .""]",1,1,22:03:20,6/20/17,judge flips out after getting flipped off,0,0,1,racism ,"[('slut', 'pr')]",7,39,4,200
Ugz5snR3CZ0IMhC0pdd4AaABAg,Fucking bitch I would have got 90 days or more for that,"[""Imo she got fined not because she said `` adios '' , but because she was disrespecting the judge/court . One thing i disagree though , is the fact that the judge was kinda harsh on her.. oh well he 's the judge . Next time make sure you do n't bitch your judge , because he 's not your boyfriend nor your father 😂"", 'I was there the whole time it ’ s called being in “ CONTEMPT OF COURT ” which can be defined as “ being disobedient to OR discourteous towards a court of law and its officers in the form of behavior that opposes or defies the authority , justice , and dignity of the court. ” She got what she deserved .', ""Cheefus Smith How can she think straight if she 's on drugs ? Emotionally unstable individuals should n't be put in this unfair situation . Judge is abusing his power ."", 'Neutral Citizen your mom and dad who commented', 'Mr Obamamacita who are you talking to']",1,1,22:18:19,3/10/18,judge flips out after getting flipped off,0,0,1,racism ,"[('bitch', 'pr'), ('bitch', 'an'), ('bitch', 'an')]",12,55,5,174
Uggubns6YB_yHXgCoAEC,42$ from 50$ equals 8$....where the fuck is the other dollar? Unless the reporter is a complete imbecile and misrepresented the amount it doesn't add up.,"['Zerø lol', 'Pannda Command Bruh . You clearly say moose but cow ? the fuck ! ?']",1,1,5:08:32,1/24/17,"pizza delivery guy gets insulted, internet gets revenge",0,0,1,racism ,"[('fuck', 'asm'), ('fuck', 'asm'), ('imbecile', 'asm'), ('imbecile', 'asf'), ('imbecile', 'cds'), ('imbecile', 'ddp'), ('imbecile', 'ps'), ('imbecile', 'ddp'), ('do', 'asm')]",26,153,2,17
UghMJOYEB0YyEHgCoAEC,Great job pushing that liberal agenda SNL!  You morons are literally too stupid to insult.,"[""If she ever wants a baby , she 'll have to open it up . One way or another . Anyway , I like to watch ."", ""Harlankristofferson2 Yeah obviously , cuz you know . She 's kinda gay dud .""]",1,1,8:36:12,10/23/16,donald trump vs. hillary clinton third debate cold open - snl,1,0,0,political,"[('stupid', 'ddp'), ('stupid', 'or'), ('stupid', 'ddp'), ('stupid', 'cds'), ('stupid', 'cds')]",15,90,2,41
